xhb,0,602,0,,0,Frequency,Cumulative %
btg,0,602,,,,,
lyz,0,602,,,,,
bpi,0,602,,,,,
ly4,0,602,,,,,
bpb,2,602,,,,,
lyx,3,602,,,,,
box,80,602,,,,,
lyy,2,602,,,,,
lys,155,602,,,,,
bq2,0,602,,,,,
xyy,42,602,,,,,
lya,94,602,,,,,
lz,0,602,,,,,
xyu,93,602,,,,,
lze,0,602,,,,,
xz,151,602,,,,,
xy2,3,602,,,,,
xzj,0,602,,,,,
xze,0,602,,,,,
bsn,4,602,,,,,
brn,0,602,,,,,
lxy,0,602,,,,,
xzf,3,602,,,,,
bq,1,602,,,,,
lzc,0,602,,,,,
bsw,24,602,,,,,
br1,0,602,,,,,
xzg,0,602,,,,,
lyb,1,602,,,,,
lzj,0,602,,,,,
btw,0,602,,,,,
xy,53,602,,,,,
xzs,0,602,,,,,
xyi,1,602,,,,,
br,1,602,,,,,
br0,19,602,,,,,
xzp,13,602,,,,,
xy3,0,602,,,,,
bop,251,602,,,,,
bu3,1,602,,,,,
xyb,12,602,,,,,
buh,1,602,,,,,
xzl,180,602,,,,,
lzl,0,602,,,,,
lzd,11,602,,,,,
xyd,0,602,,,,,
y,0,602,,,,,
lzf,216,602,,,,,
brq,3,602,,,,,
bu,54,602,,,,,
brz,0,602,,,,,
lzh,1,602,,,,,
xym,0,602,,,,,
xyq,7,602,,,,,
xzy,54,602,,,,,
lyk,70,602,,,,,
bug,4,602,,,,,
lye,104,602,,,,,
y12,0,602,,,,,
y1s,2,602,,,,,
bru,33,602,,,,,
xyz,0,602,,,,,
bui,66,602,,,,,
bsd,0,602,,,,,
lzn,7,602,,,,,
lzk,318,602,,,,,
lym,101,602,,,,,
xzc,0,602,,,,,
bs,2,602,,,,,
lyl,18,602,,,,,
y98,0,602,,,,,
y4,153,602,,,,,
y8,2,602,,,,,
bum,12,602,,,,,
yab,0,602,,,,,
btp,103,602,,,,,
xyo,9,602,,,,,
y2k,56,602,,,,,
y13,1,602,,,,,
bsr,102,602,,,,,
y8y,4,602,,,,,
ya7,0,602,,,,,
lyw,118,602,,,,,
xzz,7,602,,,,,
bse,13,602,,,,,
y91,179,602,,,,,
lyr,11,602,,,,,
y68,55,602,,,,,
lzb,14,602,,,,,
btt,1,602,,,,,
bsq,0,602,,,,,
yac,0,602,,,,,
bsp,2,602,,,,,
xzh,3,602,,,,,
yap,0,602,,,,,
ya2,162,602,,,,,
yaw,0,602,,,,,
ya4,7,602,,,,,
xzt,0,602,,,,,
bue,0,602,,,,,
bt,1,602,,,,,
bu2,0,602,,,,,
buu,0,602,,,,,
yal,0,602,,,,,
yar,0,602,,,,,
xzw,10,602,,,,,
ya9,12,602,,,,,
but,0,602,,,,,
xzx,3,602,,,,,
yaj,10,602,,,,,
lzg,99,602,,,,,
bty,0,602,,,,,
y5,0,602,,,,,
lzp,0,602,,,,,
lyt,181,602,,,,,
yao,78,602,,,,,
bun,5,602,,,,,
y11,3,602,,,,,
lz7,7,602,,,,,
bst,289,602,,,,,
y7,0,602,,,,,
lzz,5,602,,,,,
bvb,29,602,,,,,
bwa,0,602,,,,,
m14,0,602,,,,,
yam,8,602,,,,,
lzr,36,602,,,,,
xzq,0,602,,,,,
ya5,1,602,,,,,
y51,1,602,,,,,
yas,0,602,,,,,
yat,11,602,,,,,
btz,22,602,,,,,
bwz,0,602,,,,,
lzw,0,602,,,,,
m12,0,602,,,,,
m10,50,602,,,,,
y10,0,602,,,,,
m13,0,602,,,,,
m,152,602,,,,,
lzs,0,602,,,,,
bxd,0,602,,,,,
btr,13,602,,,,,
bwp,0,602,,,,,
y2,0,602,,,,,
lzx,31,602,,,,,
m11,0,602,,,,,
lzm,3,602,,,,,
bxy,0,602,,,,,
m17,0,602,,,,,
m15,0,602,,,,,
yan,112,602,,,,,
m16,0,602,,,,,
bx5,0,602,,,,,
m3z,6,602,,,,,
bwl,12,602,,,,,
bvo,46,602,,,,,
bx,0,602,,,,,
bw,395,602,,,,,
by,1,602,,,,,
by7,1,602,,,,,
bwu,350,602,,,,,
y1x,30,602,,,,,
y3,0,602,,,,,
m8,0,602,,,,,
bwg,7,602,,,,,
bxx,0,602,,,,,
bys,0,602,,,,,
m3,2,602,,,,,
y6,0,602,,,,,
y9,0,602,,,,,
bxu,117,602,,,,,
ya,0,602,,,,,
m9,0,602,,,,,
m5r,7,602,,,,,
bx3,65,602,,,,,
y22,10,602,,,,,
m54,3,602,,,,,
bxt,0,602,,,,,
y97,0,602,,,,,
m2,5,602,,,,,
m5,2,602,,,,,
ma5,0,602,,,,,
ma2,16,602,,,,,
ya6,1,602,,,,,
ma4,0,602,,,,,
bxw,6,602,,,,,
byc,18,602,,,,,
m73,4,602,,,,,
byn,0,602,,,,,
yau,0,602,,,,,
yah,1,602,,,,,
byy,82,602,,,,,
ma7,5,602,,,,,
ya3,7,602,,,,,
mab,1,602,,,,,
m7,0,602,,,,,
yb2,0,602,,,,,
yb,0,602,,,,,
ma,0,602,,,,,
bzc,42,602,,,,,
ma9,1,602,,,,,
yak,0,602,,,,,
yaz,0,602,,,,,
yay,0,602,,,,,
bzd,3,602,,,,,
byf,9,602,,,,,
mai,0,602,,,,,
bv,0,602,,,,,
m5i,91,602,,,,,
ybb,0,602,,,,,
ya8,113,602,,,,,
c10,0,602,,,,,
lzq,158,602,,,,,
bvm,0,602,,,,,
byu,292,602,,,,,
bzy,87,602,,,,,
maj,0,602,,,,,
man,0,602,,,,,
lzy,0,602,,,,,
bzz,220,602,,,,,
c12,0,602,,,,,
byq,214,602,,,,,
yb3,0,602,,,,,
mar,0,602,,,,,
m18,0,602,,,,,
ybu,0,602,,,,,
bzh,20,602,,,,,
mao,0,602,,,,,
lzt,16,602,,,,,
bz,280,602,,,,,
m19,0,602,,,,,
c3,0,602,,,,,
c14,3,602,,,,,
c2b,1,602,,,,,
ybx,0,602,,,,,
mam,0,602,,,,,
yc2,0,602,,,,,
ybj,7,602,,,,,
bww,5,602,,,,,
m1,1,602,,,,,
c2c,0,602,,,,,
ybl,21,602,,,,,
ma6,22,602,,,,,
maw,0,602,,,,,
bvv,13,602,,,,,
bwc,0,602,,,,,
mad,0,602,,,,,
mav,3,602,,,,,
bzk,13,602,,,,,
ybw,11,602,,,,,
maf,11,602,,,,,
bxf,2,602,,,,,
m40,0,602,,,,,
yc,152,602,,,,,
ybn,0,602,,,,,
m6,0,602,,,,,
mau,25,602,,,,,
c2,0,602,,,,,
c8,0,602,,,,,
mb9,0,602,,,,,
yc5,0,602,,,,,
may,29,602,,,,,
m4,1,602,,,,,
yca,1,602,,,,,
m2n,5,602,,,,,
mak,101,602,,,,,
bxh,10,602,,,,,
mbd,5,602,,,,,
mat,0,602,,,,,
ybc,314,602,,,,,
m42,33,602,,,,,
c6i,2,602,,,,,
ybp,118,602,,,,,
mbb,0,602,,,,,
ycc,10,602,,,,,
mas,4,602,,,,,
bzb,1,602,,,,,
c8t,0,602,,,,,
mb8,15,602,,,,,
byl,83,602,,,,,
ma1,4,602,,,,,
mba,154,602,,,,,
c4l,0,602,,,,,
c9s,0,602,,,,,
mbt,0,602,,,,,
mbh,90,602,,,,,
yc0,208,602,,,,,
mc,0,602,,,,,
c41,153,602,,,,,
byw,83,602,,,,,
yck,176,602,,,,,
c9,49,602,,,,,
mbl,140,602,,,,,
ca2,2,602,,,,,
ycr,0,602,,,,,
bzt,0,602,,,,,
c,0,602,,,,,
ma8,9,602,,,,,
c6,4,602,,,,,
maa,0,602,,,,,
ca,3,602,,,,,
c5,45,602,,,,,
bzs,40,602,,,,,
c6t,0,602,,,,,
mc3,0,602,,,,,
maz,29,602,,,,,
ycq,3,602,,,,,
c7,0,602,,,,,
cab,3,602,,,,,
mce,0,602,,,,,
mae,2,602,,,,,
mb,3,602,,,,,
c80,2,602,,,,,
mac,5,602,,,,,
mal,0,602,,,,,
c11,0,602,,,,,
ycy,55,602,,,,,
mch,0,602,,,,,
mcc,148,602,,,,,
mbo,0,602,,,,,
c13,1,602,,,,,
cal,1,602,,,,,
c19,1,602,,,,,
ydd,1,602,,,,,
ycn,0,602,,,,,
ycs,0,602,,,,,
c0,4,602,,,,,
cai,178,602,,,,,
mcq,1,602,,,,,
mcv,0,602,,,,,
mck,6,602,,,,,
c9n,37,602,,,,,
ych,207,602,,,,,
yd,125,602,,,,,
mbu,154,602,,,,,
ybv,0,602,,,,,
mcp,2,602,,,,,
cao,0,602,,,,,
cam,1,602,,,,,
